recipe,meal_name,total_cost,cost_per_person,servings,ingredients_used,data_source,ingredients
Halo-halo,Halo-halo,48.75,8.12,6,4,DA Official Prices 2026 + Realism Adjustment,"brown_sugar, milk, mung_beans, ice"
Puso ng Sariwa,Puso ng Sariwa,54.56,9.09,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Inahos,Inahos,54.56,9.09,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Burong Alimasag,Burong Alimasag,57.19,9.53,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, onion, garlic, salt, oil"
Sinigang na Gulay,Sinigang na Gulay,84.94,14.16,6,6,DA Official Prices 2026 + Realism Adjustment,"radish, onion, garlic, ginger, salt, oil"
Gising Gising,Gising Gising,90.88,15.15,6,6,DA Official Prices 2026 + Realism Adjustment,"potato, mung_beans, shrimp_paste, onion, garlic, oil"
Lumpiang Gulay,Lumpiang Gulay,92.75,15.46,6,5,DA Official Prices 2026 + Realism Adjustment,"squash, mung_beans, onion, garlic, oil"
Sapin-sapin,Sapin-sapin,98.75,16.46,6,3,DA Official Prices 2026 + Realism Adjustment,"rice_flour, brown_sugar, coconut_milk"
Sinangag,Sinangag,100.52,16.75,6,6,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, onion, oil, salt, egg"
Okra Guisado,Okra Guisado,103.94,17.32,6,6,DA Official Prices 2026 + Realism Adjustment,"okra, onion, garlic, tomato, oil, patis"
Turon,Turon,110.0,18.33,6,3,DA Official Prices 2026 + Realism Adjustment,"banana, brown_sugar, oil"
Pinakbet,Pinakbet,116.38,19.4,6,6,DA Official Prices 2026 + Realism Adjustment,"ampalaya, squash, beans_string, shrimp_paste, onion, oil"
Ginataang Gulay,Ginataang Gulay,120.62,20.1,6,6,DA Official Prices 2026 + Realism Adjustment,"squash, mung_beans, coconut_milk, onion, garlic, oil"
Laing,Laing,120.75,20.13,6,5,DA Official Prices 2026 + Realism Adjustment,"taro_leaves, coconut_milk, garlic, ginger, oil"
Lugaw,Lugaw,121.19,20.2,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Sopa de Repolyo,Sopa de Repolyo,136.06,22.68,6,6,DA Official Prices 2026 + Realism Adjustment,"cabbage, onion, garlic, tomato, salt, oil"
Buttered Vegetables,Buttered Vegetables,137.75,22.96,6,6,DA Official Prices 2026 + Realism Adjustment,"broccoli, carrot, cauliflower, butter, salt, oil"
Ginisang Monggo,Ginisang Monggo,140.06,23.34,6,5,DA Official Prices 2026 + Realism Adjustment,"mung_beans, onion, garlic, tomato, oil"
Lumpiang Togue,Lumpiang Togue,150.0,25.0,6,6,DA Official Prices 2026 + Realism Adjustment,"mung_beans, pork, carrot, onion, garlic, oil"
Arroz Caldo,Arroz Caldo,161.75,26.96,6,7,DA Official Prices 2026 + Realism Adjustment,"rice, chicken, ginger, garlic, onion, oil, patis"
Pinapaitan,Pinapaitan,163.31,27.22,6,6,DA Official Prices 2026 + Realism Adjustment,"liver, onion, garlic, tomato, oil, patis"
Fried Noodles,Fried Noodles,170.79,28.47,6,6,DA Official Prices 2026 + Realism Adjustment,"noodles, egg, garlic, onion, oil, patis"
Scrambled Eggs,Scrambled Eggs,173.33,28.89,6,4,DA Official Prices 2026 + Realism Adjustment,"egg, garlic, onion, oil"
Garlic Fried Rice,Garlic Fried Rice,178.31,29.72,6,5,DA Official Prices 2026 + Realism Adjustment,"rice, garlic, egg, onion, oil"
Omelet,Omelet,188.83,31.47,6,5,DA Official Prices 2026 + Realism Adjustment,"egg, onion, tomato, salt, oil"
Tortang Patatas,Tortang Patatas,200.21,33.37,6,5,DA Official Prices 2026 + Realism Adjustment,"egg, potato, onion, garlic, oil"
Egg Salad,Egg Salad,204.54,34.09,6,5,DA Official Prices 2026 + Realism Adjustment,"egg, potato, onion, salt, oil"
Ginisang Ampalaya,Ginisang Ampalaya,205.56,34.26,6,5,DA Official Prices 2026 + Realism Adjustment,"ampalaya, onion, egg, garlic, oil"
Puto,Puto,213.65,35.61,6,4,DA Official Prices 2026 + Realism Adjustment,"rice_flour, sugar, egg, baking_powder"
Itlog na Maalat,Itlog na Maalat,219.0,36.5,6,2,DA Official Prices 2026 + Realism Adjustment,"egg, salt"
Lomi,Lomi,223.69,37.28,6,7,DA Official Prices 2026 + Realism Adjustment,"egg, rice_flour, chicken, onion, garlic, oil, patis"
Chicken Arroz Caldo,Chicken Arroz Caldo,226.19,37.7,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, rice, ginger, garlic, onion, oil, patis"
Tortang Talong,Tortang Talong,228.46,38.08,6,6,DA Official Prices 2026 + Realism Adjustment,"eggplant, egg, onion, garlic, salt, oil"
Tapa Barley,Tapa Barley,235.5,39.25,6,4,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, oil"
Chicken Mami,Chicken Mami,245.19,40.86,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, noodles, onion, garlic, salt, oil, patis"
Goto,Goto,246.25,41.04,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, rice, garlic, ginger, onion, oil, patis"
Misua,Misua,249.04,41.51,6,6,DA Official Prices 2026 + Realism Adjustment,"noodles, pork, onion, garlic, egg, oil"
Bangsilog,Bangsilog,251.04,41.84,6,6,DA Official Prices 2026 + Realism Adjustment,"bangus, rice, egg, garlic, onion, oil"
Ginataan na Manok,Ginataan na Manok,255.81,42.64,6,5,DA Official Prices 2026 + Realism Adjustment,"chicken, coconut_milk, onion, garlic, oil"
Pancit Bihon,Pancit Bihon,257.88,42.98,6,7,DA Official Prices 2026 + Realism Adjustment,"noodles, pork, onion, garlic, carrot, oil, patis"
Chicken Guisado,Chicken Guisado,264.19,44.03,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, tomato, garlic, salt, oil, patis"
Menudo,Menudo,266.44,44.41,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, potato, onion, garlic, tomato, oil"
Bibingka,Bibingka,267.29,44.55,6,4,DA Official Prices 2026 + Realism Adjustment,"rice_flour, sugar, egg, coconut_milk"
Chicken Inasal,Chicken Inasal,268.38,44.73,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, garlic, ginger, turmeric, lemongrass, oil"
Grilled Bangus,Grilled Bangus,270.0,45.0,6,5,DA Official Prices 2026 + Realism Adjustment,"bangus, garlic, lemon, salt, oil"
Empanada,Empanada,271.44,45.24,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, potato, onion, garlic, breadcrumbs, oil"
Pancit Luglog,Pancit Luglog,272.25,45.38,6,7,DA Official Prices 2026 + Realism Adjustment,"noodles, shrimp, pork, onion, garlic, oil, patis"
Kilauwin,Kilauwin,272.44,45.41,6,5,DA Official Prices 2026 + Realism Adjustment,"fish, onion, ginger, salt, oil"
Tinola,Tinola,273.56,45.59,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, ginger, onion, garlic, papaya, oil, patis"
Chicken Tinola,Chicken Tinola,273.56,45.59,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, ginger, onion, garlic, papaya, oil, patis"
Chicken Adobo,Chicken Adobo,274.69,45.78,6,7,DA Official Prices 2026 + Realism Adjustment,"chicken, vinegar, soy_sauce, garlic, onion, oil, patis"
Chicken Puyat,Chicken Puyat,276.94,46.16,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, garlic, ginger, tomato, oil"
Tom Yum,Tom Yum,279.0,46.5,6,6,DA Official Prices 2026 + Realism Adjustment,"shrimp, lemongrass, ginger, chili, onion, oil"
Pancit Canton,Pancit Canton,290.69,48.45,6,6,DA Official Prices 2026 + Realism Adjustment,"noodles, pork, onion, garlic, cabbage, oil"
Chicken Escabeche,Chicken Escabeche,298.25,49.71,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, carrot, tomato, vinegar, oil"
Chicken Afritada,Chicken Afritada,308.69,51.45,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, tomato, garlic, potato, oil"
Chicken Kaldereta,Chicken Kaldereta,308.69,51.45,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, onion, tomato, garlic, potato, oil"
Longganisa,Longganisa,315.75,52.62,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, sugar, oil"
Tapa,Tapa,316.0,52.67,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, brown_sugar, salt, garlic, oil"
Pork Tocino,Pork Tocino,318.88,53.15,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, brown_sugar, garlic, calamansi, salt, oil"
Tokwa at Baboy,Tokwa at Baboy,319.88,53.31,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, onion, oil"
Lumpia Shanghai,Lumpia Shanghai,328.31,54.72,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, shrimp, carrot, onion, oil"
Kilawin,Kilawin,331.19,55.2,6,5,DA Official Prices 2026 + Realism Adjustment,"fish, onion, ginger, chili, calamansi"
Kinilawan,Kinilawan,331.94,55.32,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, onion, ginger, chili, oil"
Hamado,Hamado,333.19,55.53,6,5,DA Official Prices 2026 + Realism Adjustment,"beef, onion, garlic, brown_sugar, oil"
Cholisang,Cholisang,334.94,55.82,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, onion, garlic, chili, oil"
Pork Binagoongan,Pork Binagoongan,334.94,55.82,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, shrimp_paste, onion, garlic, oil"
Ginataang Taba ng Alaskan,Ginataang Taba ng Alaskan,337.0,56.17,6,5,DA Official Prices 2026 + Realism Adjustment,"shrimp, coconut_milk, onion, garlic, oil"
Pork Adobo,Pork Adobo,345.31,57.55,6,8,DA Official Prices 2026 + Realism Adjustment,"pork, vinegar, soy_sauce, garlic, onion, bay_leaves, oil, patis"
Pork Barbecue,Pork Barbecue,346.19,57.7,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, onion, brown_sugar, oil"
Sinigado,Sinigado,348.19,58.03,6,6,DA Official Prices 2026 + Realism Adjustment,"squid, onion, garlic, ginger, tomato, oil"
Patty,Patty,358.6,59.77,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, potato, onion, egg, oil"
Kaboombay,Kaboombay,359.81,59.97,6,5,DA Official Prices 2026 + Realism Adjustment,"fish, onion, tomato, garlic, oil"
Grilled Tilapia,Grilled Tilapia,361.13,60.19,6,6,DA Official Prices 2026 + Realism Adjustment,"tilapia, garlic, onion, lemon, oil, salt"
Chicken Relleno,Chicken Relleno,371.25,61.88,6,6,DA Official Prices 2026 + Realism Adjustment,"chicken, egg, onion, garlic, breadcrumbs, oil"
Capon,Capon,376.44,62.74,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, onion, garlic, tomato, oil"
Callos,Callos,377.44,62.91,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, potato, chickpeas, onion, garlic, oil"
Lumpia,Lumpia,378.81,63.14,6,6,DA Official Prices 2026 + Realism Adjustment,"shrimp, pork, carrot, onion, garlic, oil"
Rehogado,Rehogado,380.81,63.47,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, potato, onion, garlic, tomato, oil"
Beef Pares,Beef Pares,383.69,63.95,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, soy_sauce, garlic, ginger, oil"
Escabeche,Escabeche,384.88,64.15,6,6,DA Official Prices 2026 + Realism Adjustment,"fish, onion, carrot, vinegar, sugar, oil"
Beef Kinilaw,Beef Kinilaw,384.94,64.16,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, ginger, garlic, chili, calamansi"
Meatballs,Meatballs,388.75,64.79,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, breadcrumbs, egg, onion, garlic, oil"
Kare-kare,Kare-kare,389.69,64.95,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, peanut_butter, onion, garlic, oil"
Adobong Pusit,Adobong Pusit,392.19,65.36,6,7,DA Official Prices 2026 + Realism Adjustment,"squid, vinegar, soy_sauce, garlic, onion, oil, patis"
Picadillo,Picadillo,393.94,65.66,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, potato, onion, garlic, tomato, oil"
Beef Steak,Beef Steak,397.81,66.3,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, soy_sauce, garlic, lemon, oil"
Ube Cake,Ube Cake,403.75,67.29,6,5,DA Official Prices 2026 + Realism Adjustment,"purple_yam, sugar, egg, flour, oil"
Bistek Tagalog,Bistek Tagalog,405.12,67.52,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, soy_sauce, garlic, lemon, oil"
Adobo sa Gata,Adobo sa Gata,408.44,68.07,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, coconut_milk, onion, garlic, ginger, oil"
Pork Guisado,Pork Guisado,408.56,68.09,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, salt, oil, patis"
Pork Afritada,Pork Afritada,410.56,68.43,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, potato, chili, oil"
Pork Tinola,Pork Tinola,417.44,69.57,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, ginger, onion, garlic, papaya, oil, patis"
Kulampot,Kulampot,420.0,70.0,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, fish, shrimp, onion, garlic, oil"
Guisadong Hipon,Guisadong Hipon,420.81,70.14,6,5,DA Official Prices 2026 + Realism Adjustment,"shrimp, onion, garlic, tomato, oil"
Inihawin,Inihawin,423.5,70.58,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, lemongrass, oil"
Inihaw na Liempo,Inihaw na Liempo,426.0,71.0,6,5,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, calamansi, oil"
Kinilaw,Kinilaw,430.69,71.78,6,6,DA Official Prices 2026 + Realism Adjustment,"fish, onion, ginger, chili, calamansi, oil"
Hilabos,Hilabos,430.81,71.8,6,5,DA Official Prices 2026 + Realism Adjustment,"shrimp, garlic, onion, tomato, oil"
Sisig,Sisig,431.75,71.96,6,7,DA Official Prices 2026 + Realism Adjustment,"pork, onion, chili, calamansi, salt, oil, patis"
Hawang Alaskan,Hawang Alaskan,432.56,72.09,6,4,DA Official Prices 2026 + Realism Adjustment,"shrimp, garlic, onion, oil"
Pork Inihaw,Pork Inihaw,434.62,72.44,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, soy_sauce, garlic, onion, lemon, oil"
Pork Mechado,Pork Mechado,434.81,72.47,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, onion, garlic, potato, tomato, oil"
Afritada,Afritada,449.31,74.89,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, tomato, potato, onion, garlic, oil"
Nilaga,Nilaga,457.94,76.32,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, potato, onion, cabbage, salt, oil"
Pork Estofado,Pork Estofado,458.06,76.34,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, onion, tomato, garlic, potato, oil"
Sinigang,Sinigang,458.19,76.36,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, radish, onion, garlic, ginger, oil"
Beef Caldereta,Beef Caldereta,463.06,77.18,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, tomato, garlic, potato, chili, oil"
Pork Embutido,Pork Embutido,470.71,78.45,6,6,DA Official Prices 2026 + Realism Adjustment,"pork, egg, garlic, onion, breadcrumbs, oil"
Pesang Isda,Pesang Isda,472.44,78.74,6,7,DA Official Prices 2026 + Realism Adjustment,"fish, ginger, onion, tomato, radish, oil, patis"
Leche Flan,Leche Flan,485.0,80.83,6,3,DA Official Prices 2026 + Realism Adjustment,"egg, sugar, milk"
Ginataang Hipon,Ginataang Hipon,501.44,83.57,6,6,DA Official Prices 2026 + Realism Adjustment,"shrimp, coconut_milk, onion, garlic, ginger, oil"
Bulalo,Bulalo,508.19,84.7,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, potato, onion, ginger, salt, oil"
Lechon Kawali,Lechon Kawali,508.5,84.75,6,4,DA Official Prices 2026 + Realism Adjustment,"pork, salt, garlic, oil"
Beef Adobo,Beef Adobo,515.62,85.94,6,8,DA Official Prices 2026 + Realism Adjustment,"beef, vinegar, soy_sauce, garlic, onion, bay_leaves, oil, patis"
Inihaw na Isda,Inihaw na Isda,518.88,86.48,6,6,DA Official Prices 2026 + Realism Adjustment,"fish, garlic, onion, lemon, salt, oil"
Beef Bulalo,Beef Bulalo,521.94,86.99,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, ginger, garlic, potato, salt, oil"
Beef Nilaga,Beef Nilaga,531.69,88.61,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, onion, potato, cabbage, salt, oil"
Beef Guisado,Beef Guisado,548.31,91.39,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, tomato, garlic, potato, oil, patis"
Beef Mechado,Beef Mechado,557.31,92.89,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, onion, garlic, potato, tomato, chili, oil"
Beef Morcon,Beef Morcon,625.25,104.21,6,7,DA Official Prices 2026 + Realism Adjustment,"beef, egg, carrot, garlic, onion, breadcrumbs, oil"
Beef Embutido,Beef Embutido,635.71,105.95,6,6,DA Official Prices 2026 + Realism Adjustment,"beef, egg, garlic, onion, breadcrumbs, oil"
